Name,E423
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
99.655000,0.159000
98.706000,0.650000
97.304000,1.434000
95.530000,2.381000
93.358000,3.376000
90.734000,4.400000
87.671000,5.481000
84.221000,6.620000
80.436000,7.803000
76.373000,9.010000
72.090000,10.215000
67.644000,11.391000
63.092000,12.506000
58.491000,13.524000
53.893000,14.410000
49.347000,15.116000
44.870000,15.593000
40.464000,15.828000
36.149000,15.824000
31.947000,15.590000
27.885000,15.138000
23.987000,14.485000
20.286000,13.657000
16.816000,12.676000
13.611000,11.562000
10.700000,10.337000
8.106000,9.023000
5.852000,7.646000
3.953000,6.232000
2.421000,4.812000
1.262000,3.419000
0.481000,2.093000
0.071000,0.879000
0.002000,0.088000
0.033000,-0.192000
0.071000,-0.362000
0.125000,-0.518000
0.157000,-0.590000
0.194000,-0.656000
0.237000,-0.717000
0.288000,-0.771000
0.348000,-0.823000
0.415000,-0.874000
0.571000,-0.969000
0.751000,-1.057000
1.065000,-1.177000
1.365000,-1.266000
2.892000,-1.485000
4.947000,-1.482000
7.533000,-1.236000
10.670000,-0.740000
14.385000,-0.002000
18.727000,0.922000
23.688000,1.913000
29.196000,2.865000
35.163000,3.687000
41.449000,4.283000
47.867000,4.626000
54.275000,4.760000
60.579000,4.715000
66.690000,4.501000
72.503000,4.126000
77.912000,3.625000
82.836000,3.050000
87.219000,2.444000
91.012000,1.844000
94.179000,1.286000
96.692000,0.794000
98.519000,0.390000
99.629000,0.106000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.071000,0.879000
0.002000,0.044000
0.033000,-0.096000
0.071000,0.258500
0.125000,0.260446
0.157000,0.271822
0.194000,0.293600
0.237000,0.326761
0.288000,0.375266
0.348000,0.438095
0.415000,0.511788
0.571000,0.638402
0.751000,0.747206
1.065000,0.953764
1.365000,1.138398
2.892000,1.881783
4.947000,2.745067
7.533000,3.718473
10.670000,4.790902
14.385000,5.914514
18.727000,7.069128
23.688000,8.165553
29.196000,9.074441
35.163000,9.728046
41.449000,10.029232
47.867000,9.949843
54.275000,9.548196
60.579000,8.888508
66.690000,8.062840
72.503000,7.112402
77.912000,6.088904
82.836000,5.051441
87.219000,4.037113
91.012000,3.067756
94.179000,2.142949
96.692000,1.277349
98.519000,0.572285
99.629000,0.139226
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
